model,value
minecraft:block/leaves,1
minecraft:block/web,1
minecraft:block/tallgrass,2
minecraft:block/crop,3
minecraft:block/double_fern_bottom,4
minecraft:block/double_grass_bottom,4
minecraft:block/double_paeonia_bottom,4
minecraft:block/double_rose_bottom,4
minecraft:block/double_sunflower_bottom,4
minecraft:block/double_syringa_bottom,4
minecraft:block/double_fern_top,5
minecraft:block/double_grass_top,5
minecraft:block/double_paeonia_top,5
minecraft:block/double_rose_top,5
minecraft:block/double_sunflower_top,5
minecraft:block/double_syringa_top,5
minecraft:block/acacia_sapling,6
minecraft:block/birch_sapling,6
minecraft:block/daisy,6
minecraft:block/dandelion,6
minecraft:block/dead_bush,6
minecraft:block/houstonia,6
minecraft:block/jungle_sapling,6
minecraft:block/oak_sapling,6
minecraft:block/orchid,6
minecraft:block/poppy,6
minecraft:block/red_tulip,6
minecraft:block/spruce_sapling,6
minecraft:block/white_tulip,6
minecraft:block/pink_tulip,6
minecraft:block/orange_tulip,6
minecraft:block/allium,6
minecraft:block/reeds,7
minecraft:block/vine_1,8
minecraft:block/vine_1u,8
minecraft:block/vine_2,8
minecraft:block/vine_2_opposite,8
minecraft:block/vine_2u,8
minecraft:block/vine_2u_opposite,8
minecraft:block/vine_3,8
minecraft:block/vine_3u,8
minecraft:block/vine_4,8
minecraft:block/vine_4u,8
minecraft:block/vine_u,8
eagler:builtin/water_still_vertex_id,9
eagler:builtin/water_flow_vertex_id,10
minecraft:block/waterlily,11
minecraft:block/fire_floor_main,12
minecraft:block/fire_n_main,13
minecraft:block/fire_ne_main,13
minecraft:block/fire_ns_main,13
minecraft:block/fire_nse_main,13
minecraft:block/fire_nsew_main,13
minecraft:block/fire_u1_main,13
minecraft:block/fire_nu1_main,13
minecraft:block/fire_neu1_main,13
minecraft:block/fire_nsu1_main,13
minecraft:block/fire_nseu1_main,13
minecraft:block/fire_nsewu1_main,13
minecraft:block/fire_u2_main,13
minecraft:block/fire_nu2_main,13
minecraft:block/fire_neu2_main,13
minecraft:block/fire_nsu2_main,13
minecraft:block/fire_nseu2_main,13
minecraft:block/fire_nsewu2_main,13
minecraft:block/fire_n_alt,13
minecraft:block/fire_ne_alt,13
minecraft:block/fire_ns_alt,13
minecraft:block/fire_nse_alt,13
minecraft:block/fire_nsew_alt,13
minecraft:block/fire_nu2_alt,13
minecraft:block/fire_neu2_alt,13
minecraft:block/fire_nsu2_alt,13
minecraft:block/fire_nseu2_alt,13
minecraft:block/fire_nsewu2_alt,13
minecraft:block/fire_n_flip_main,13
minecraft:block/fire_ne_flip_main,13
minecraft:block/fire_ns_flip_main,13
minecraft:block/fire_nse_flip_main,13
minecraft:block/fire_nsew_flip_main,13
minecraft:block/fire_nu1_flip_main,13
minecraft:block/fire_neu1_flip_main,13
minecraft:block/fire_nsu1_flip_main,13
minecraft:block/fire_nseu1_flip_main,13
minecraft:block/fire_nsewu1_flip_main,13
minecraft:block/fire_nu2_flip_main,13
minecraft:block/fire_neu2_flip_main,13
minecraft:block/fire_nsu2_flip_main,13
minecraft:block/fire_nseu2_flip_main,13
minecraft:block/fire_nsewu2_flip_main,13
minecraft:block/fire_n_alt_flip,13
minecraft:block/fire_ne_alt_flip,13
minecraft:block/fire_ns_alt_flip,13
minecraft:block/fire_nse_alt_flip,13
minecraft:block/fire_nsew_alt_flip,13
minecraft:block/fire_nu1_alt_flip,13
minecraft:block/fire_neu1_alt_flip,13
minecraft:block/fire_nsu1_alt_flip,13
minecraft:block/fire_nseu1_alt_flip,13
minecraft:block/fire_nsewu1_alt_flip,13
minecraft:block/fire_nu2_alt_flip,13
minecraft:block/fire_neu2_alt_flip,13
minecraft:block/fire_nsu2_alt_flip,13
minecraft:block/fire_nseu2_alt_flip,13
minecraft:block/fire_nsewu2_alt_flip,13
minecraft:block/fire_nsewu2_alt_flip,13
minecraft:block/glass,14
minecraft:block/glass_pane_n,14
minecraft:block/glass_pane_ne,14
minecraft:block/glass_pane_new,14
minecraft:block/glass_pane_ns,14
minecraft:block/glass_pane_nse,14
minecraft:block/glass_pane_nsew,14
minecraft:block/glass_pane_nsw,14
minecraft:block/glass_pane_nw,14
minecraft:block/glass_pane_s,14
minecraft:block/glass_pane_se,14
minecraft:block/glass_pane_sew,14
minecraft:block/glass_pane_sw,14